,gameid,result,ckpm,gspd,golddiffat15,firstblood,firsttower,firsttothreetowers,turretplates,firstherald,firstdragon,dragons,minionkills,monsterkills,wpm,wcpm
9419,ESPORTSTMNT01_3298902,0,0.6421,-0.15731,-4115.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.507,0.345,2.5682,1.1236
18922,ESPORTSTMNT02_3148844,0,0.7527,-0.107139,-1749.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.486,0.466,0.0,1.9132
10366,ESPORTSTMNT01_3301178,0,0.7329,-0.174753,-5319.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.482,0.42,2.7651,1.4325
43367,ESPORTSTMNT01_3324865,0,0.793,-0.167621,-698.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.523,0.444,4.0308,1.7841
15623,ESPORTSTMNT01_3310374,0,0.9403,-0.120526,-2288.0,1.0,0.0,1.0,7.0,0.0,1.0,0.2,0.513,0.468,2.73,1.365
25234,ESPORTSTMNT02_3162662,1,0.8541,0.250227,1511.0,0.0,1.0,1.0,5.0,1.0,1.0,0.75,0.519,0.574,0.0,1.4947
25211,ESPORTSTMNT02_3161695,0,0.8911,-0.145683,-1989.0,1.0,0.0,0.0,2.0,0.0,1.0,0.8,0.496,0.512,0.0,1.7525
25954,ESPORTSTMNT02_3164302,0,0.8408,-0.16935,-1573.0,0.0,0.0,0.0,3.0,0.0,0.0,0.2,0.48,0.435,0.0,1.3213
5086,ESPORTSTMNT02_3140740,1,1.0133,0.137596,1250.0,1.0,1.0,1.0,5.0,1.0,0.0,0.75,0.509,0.508,3.2242,1.2897
41375,ESPORTSTMNT01_3326246,0,0.5377,-0.0599008,-286.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.478,0.439,3.4792,1.4549
10306,ESPORTSTMNT01_3300186,1,0.5006,0.160669,1271.0,1.0,1.0,1.0,5.0,1.0,0.0,0.75,0.5,0.507,3.3704,2.3693
10307,ESPORTSTMNT01_3300186,0,0.5006,-0.160669,-1271.0,0.0,0.0,0.0,3.0,0.0,1.0,0.25,0.5,0.493,4.0044,1.6018
19738,ESPORTSTMNT02_3152181,0,0.7634,-0.147908,-630.0,0.0,1.0,0.0,4.0,0.0,1.0,0.25,0.503,0.361,0.0,1.2146
14711,ESPORTSTMNT01_3308753,0,0.8919,-0.162656,194.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6,0.487,0.49,2.9523,1.2301
20686,ESPORTSTMNT02_3153529,0,0.6742,-0.0709492,-164.0,1.0,1.0,0.0,7.0,1.0,0.0,0.0,0.486,0.443,0.0,1.4494
9418,ESPORTSTMNT01_3298902,1,0.6421,0.15731,4115.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.493,0.655,3.0819,1.2841
5962,ESPORTSTMNT02_3139954,1,0.6706,0.214769,3915.0,1.0,1.0,1.0,7.0,0.0,0.0,0.75,0.533,0.543,2.4353,1.2353
19739,ESPORTSTMNT02_3152181,1,0.7634,0.147908,630.0,1.0,0.0,1.0,3.0,1.0,0.0,0.75,0.497,0.639,0.0,1.7004
18910,ESPORTSTMNT02_3148829,1,0.6734,0.106804,3244.0,1.0,1.0,1.0,4.0,1.0,0.0,0.667,0.503,0.565,0.0,1.2758
25979,ESPORTSTMNT02_3165238,0,0.7034,-0.0397239,-203.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.486,0.457,0.0,1.2232
15742,ESPORTSTMNT01_3309516,1,0.69,0.169226,3449.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.507,0.537,2.8916,1.2815
18911,ESPORTSTMNT02_3148829,0,0.6734,-0.106804,-3244.0,0.0,0.0,0.0,1.0,0.0,1.0,0.333,0.497,0.435,0.0,1.8429
37607,ESPORTSTMNT03_3124976,0,0.9145,-0.209142,-2494.0,0.0,0.0,0.0,2.0,0.0,1.0,0.333,0.501,0.516,4.1481,1.6658
5087,ESPORTSTMNT02_3140740,0,1.0133,-0.137596,-1250.0,0.0,0.0,0.0,3.0,0.0,1.0,0.25,0.491,0.492,2.825,1.1361
37606,ESPORTSTMNT03_3124976,1,0.9145,0.209142,2494.0,1.0,1.0,1.0,6.0,1.0,0.0,0.667,0.499,0.484,3.9194,1.8944
15622,ESPORTSTMNT01_3310374,1,0.9403,0.120526,2288.0,0.0,1.0,0.0,7.0,1.0,0.0,0.8,0.487,0.532,3.276,1.547
43222,ESPORTSTMNT01_3325749,1,0.5902,0.182342,2609.0,1.0,1.0,1.0,5.0,1.0,1.0,0.8,0.51,0.573,3.2787,1.8033
19870,ESPORTSTMNT02_3152228,1,0.5951,0.121425,-336.0,0.0,1.0,1.0,3.0,1.0,0.0,0.75,0.5,0.467,0.0,1.2252
19871,ESPORTSTMNT02_3152228,0,0.5951,-0.121425,336.0,1.0,0.0,0.0,6.0,0.0,1.0,0.25,0.5,0.533,0.0,1.0502
31295,ESPORTSTMNT03_3114509,0,0.7549,-0.147447,-3237.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.514,0.391,2.6586,1.5755
37595,ESPORTSTMNT03_3124972,1,0.7055,0.0855868,3233.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.504,0.544,3.2451,1.5873
18947,ESPORTSTMNT02_3150832,1,0.8027,0.0651394,-3394.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.502,0.504,0.0,1.6054
15743,ESPORTSTMNT01_3309516,0,0.69,-0.169226,-3449.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.493,0.463,2.6287,1.3143
18946,ESPORTSTMNT02_3150832,0,0.8027,-0.0651394,3394.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0,0.498,0.496,0.0,1.204
31342,ESPORTSTMNT03_3115567,1,0.7612,0.0957419,527.0,1.0,1.0,1.0,4.0,1.0,1.0,0.75,0.508,0.53,4.6994,1.9195
37594,ESPORTSTMNT03_3124972,0,0.7055,-0.0855868,-3233.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.496,0.456,3.3157,1.552
25235,ESPORTSTMNT02_3162662,0,0.8541,-0.250227,-1511.0,1.0,0.0,0.0,1.0,0.0,0.0,0.25,0.481,0.426,0.0,0.9964
43414,ESPORTSTMNT01_3324874,0,1.0878,-0.0473747,-2362.0,0.0,1.0,0.0,4.0,1.0,0.0,0.2,0.504,0.501,4.3513,2.5156
15598,ESPORTSTMNT01_3311275,0,1.1682,-0.0549763,383.0,0.0,0.0,0.0,2.0,0.0,0.0,0.25,0.504,0.44,3.537,1.0384
41278,ESPORTSTMNT01_3325173,1,0.5266,0.240681,5989.0,1.0,1.0,1.0,6.0,0.0,1.0,1.0,0.529,0.615,3.5737,1.5799
43366,ESPORTSTMNT01_3324865,1,0.793,0.167621,698.0,0.0,1.0,1.0,6.0,1.0,1.0,1.0,0.477,0.556,3.0396,1.9163
37510,ESPORTSTMNT03_3125864,1,0.5835,0.176839,2065.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.504,0.596,3.3295,2.3684
5998,ESPORTSTMNT02_3141970,1,0.6574,0.0932061,695.0,1.0,1.0,1.0,6.0,0.0,1.0,1.0,0.514,0.568,3.4602,1.2457
43223,ESPORTSTMNT01_3325749,0,0.5902,-0.182342,-2609.0,0.0,0.0,0.0,2.0,0.0,0.0,0.2,0.49,0.427,3.2787,0.9836
43415,ESPORTSTMNT01_3324874,1,1.0878,0.0473747,2362.0,1.0,0.0,1.0,4.0,0.0,1.0,0.8,0.496,0.499,4.9972,2.3116
31343,ESPORTSTMNT03_3115567,0,0.7612,-0.0957419,-527.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.492,0.47,3.2101,1.6878
15599,ESPORTSTMNT01_3311275,1,1.1682,0.0549763,-383.0,1.0,1.0,1.0,2.0,1.0,1.0,0.75,0.496,0.56,3.1801,1.7847
37511,ESPORTSTMNT03_3125864,0,0.5835,-0.176839,-2065.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.496,0.404,4.3936,1.5446
42239,ESPORTSTMNT01_3325480,0,0.9508,-0.132907,666.0,1.0,1.0,0.0,3.0,0.0,1.0,0.25,0.5,0.452,2.6146,1.2224
42238,ESPORTSTMNT01_3325480,1,0.9508,0.132907,-666.0,0.0,0.0,1.0,3.0,1.0,0.0,0.75,0.5,0.548,3.4975,1.1205
31294,ESPORTSTMNT03_3114509,1,0.7549,0.147447,3237.0,0.0,1.0,1.0,6.0,1.0,1.0,0.75,0.486,0.609,4.3654,1.5098
10331,ESPORTSTMNT01_3300211,1,0.5948,0.239354,3885.0,1.0,1.0,1.0,5.0,1.0,1.0,0.75,0.519,0.572,3.9033,1.8959
42298,ESPORTSTMNT01_3325518,1,0.773,0.168457,1717.0,0.0,1.0,1.0,8.0,1.0,1.0,0.75,0.516,0.592,3.6074,1.9509
41351,ESPORTSTMNT01_3326234,1,0.6108,0.0681208,1130.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.504,0.541,4.2395,1.509
41350,ESPORTSTMNT01_3326234,0,0.6108,-0.0681208,-1130.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.496,0.459,2.7305,2.1198
9467,ESPORTSTMNT01_3297964,1,0.6771,0.0895692,4495.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,0.523,0.508,2.9718,1.4295
36634,ESPORTSTMNT06_2775340,1,0.7423,0.12013,3962.0,1.0,1.0,1.0,8.0,1.0,0.0,0.333,0.517,0.575,3.2165,1.3608
5999,ESPORTSTMNT02_3141970,0,0.6574,-0.0932061,-695.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.486,0.432,2.5952,1.3495
5963,ESPORTSTMNT02_3139954,0,0.6706,-0.214769,-3915.0,0.0,0.0,0.0,1.0,1.0,1.0,0.25,0.467,0.457,3.1059,0.7765
42346,ESPORTSTMNT01_3326540,1,1.2597,0.179594,1121.0,1.0,1.0,1.0,8.0,1.0,0.0,0.75,0.508,0.546,4.4991,1.7636
