,gameid,result,ckpm,gspd,golddiffat15,firstblood,firsttower,firsttothreetowers,turretplates,firstherald,firstdragon,dragons,minionkills,monsterkills,wpm,wcpm,gd10,cspm,csd10,egpm
27190,ESPORTSTMNT02_3164910,1,1.174,0.0826556,-7891.0,0.0,0.0,0.0,1.0,0.0,0.0,0.333,0.527,0.523,0.0,1.0991,-3856.0,32.5479,-36.0,303.057
50687,ESPORTSTMNT01_3337205,0,0.6911,0.00313491,-3264.0,1.0,0.0,0.0,2.0,0.0,1.0,0.4,0.495,0.465,4.4426,1.9005,-1082.0,32.0362,-22.0,205.471
31654,ESPORTSTMNT03_3114711,1,0.486,0.0757773,648.0,1.0,1.0,1.0,2.0,1.0,0.0,0.6,0.504,0.513,4.9415,2.3222,790.0,35.0765,-2.0,241.966
36502,ESPORTSTMNT03_3125428,1,0.7892,-0.0986563,-672.0,0.0,1.0,0.0,2.0,0.0,1.0,0.571,0.501,0.48,2.9989,1.7136,-1445.0,29.628,-33.0,212.875
38782,ESPORTSTMNT03_3127378,1,0.6905,0.140019,2579.0,0.0,1.0,1.0,6.0,1.0,1.0,0.5,0.503,0.577,3.3248,1.9437,-71.0,34.9361,-11.0,263.816
44495,ESPORTSTMNT03_3129819,0,0.9673,-0.107085,-1547.0,1.0,0.0,1.0,2.0,0.0,0.0,0.167,0.485,0.489,3.9934,1.4138,1050.0,32.7904,-13.0,223.59
29674,ESPORTSTMNT03_3112838,1,0.8936,0.137567,980.0,1.0,0.0,1.0,6.0,0.0,1.0,0.667,0.517,0.57,4.0736,1.9711,206.0,35.0591,19.0,278.365
21791,ESPORTSTMNT02_3155063,1,0.5684,-0.157511,364.0,1.0,0.0,1.0,4.0,0.0,0.0,0.429,0.518,0.458,0.0,2.3645,2365.0,29.6476,22.0,218.992
26231,ESPORTSTMNT02_3164479,0,0.8475,-0.0554239,-240.0,1.0,1.0,0.0,3.0,0.0,1.0,0.333,0.501,0.471,0.0,1.9693,-665.0,32.2061,-17.0,199.179
36503,ESPORTSTMNT03_3125428,0,0.7892,0.0986563,672.0,1.0,0.0,1.0,5.0,1.0,0.0,0.429,0.499,0.52,3.4498,1.4205,1445.0,29.9211,33.0,211.039
